payment_mode,product_category,seller_tier,delivery_zone,time_slot,order_value,delivery_attempts,customer_rating,days_to_deliver,address_quality_score,is_repeat_customer,holiday_season,seller_rating,pincode_density,rto
UPI,Fashion,Bronze,Metro,Afternoon,1002.21,1,4,7,0.83,1,1,4.6,Medium,0
Prepaid,Books,Silver,Tier1,Evening,2282.84,1,5,5,0.77,1,1,3.0,Medium,0
Card,Electronics,Bronze,Tier1,Evening,2881.98,3,3,6,0.28,1,0,3.8,Medium,1
COD,Fashion,Silver,Rural,Morning,1012.94,1,2,7,0.61,1,1,4.6,High,1
COD,Beauty,Silver,Metro,Evening,3301.11,1,4,4,0.84,1,0,4.7,Low,0
COD,Home,Bronze,Tier1,Afternoon,1335.88,1,5,5,0.71,1,0,3.2,High,0
COD,Home,Silver,Rural,Morning,1800.0,2,1,4,0.77,1,0,2.5,Low,0
COD,Books,Silver,Rural,Afternoon,2057.08,1,2,5,0.66,1,0,3.7,Low,1
COD,Electronics,Bronze,Rural,Afternoon,1725.28,1,5,4,0.94,1,1,4.5,Medium,1
UPI,Beauty,Bronze,Tier1,Evening,4369.51,1,4,6,0.61,1,0,3.1,Low,1
COD,Toys,Silver,Tier2,Evening,877.48,2,4,6,0.65,1,1,2.9,High,0
COD,Books,Silver,Tier1,Morning,1950.26,2,4,1,0.9,1,0,3.5,High,0
Prepaid,Toys,Bronze,Tier2,Afternoon,2654.57,2,3,3,0.69,0,0,3.2,Low,0
COD,Books,Bronze,Metro,Afternoon,711.55,1,5,3,0.55,1,0,3.1,Medium,0
UPI,Electronics,Silver,Tier2,Evening,1134.33,1,3,3,0.4,0,0,4.6,Medium,0
COD,Beauty,Silver,Tier1,Afternoon,855.0,1,3,4,0.97,0,0,2.9,Medium,0
Card,Electronics,Silver,Tier1,Afternoon,2777.59,1,4,5,0.82,0,0,2.7,Medium,0
UPI,Home,Bronze,Tier2,Afternoon,1540.71,1,3,3,0.27,1,0,2.8,Low,0
COD,Toys,Gold,Metro,Afternoon,1171.68,2,3,5,0.3,0,0,3.7,Low,0
COD,Fashion,Bronze,Metro,Afternoon,1473.34,3,4,6,0.36,1,1,4.8,High,0
UPI,Sports,Gold,Tier1,Morning,2006.06,1,5,4,0.39,1,1,2.9,High,1
Prepaid,Home,Bronze,Tier2,Afternoon,1631.94,1,5,5,0.72,1,1,4.8,Medium,0
Prepaid,Home,Bronze,Metro,Afternoon,1093.71,1,4,6,0.63,0,0,4.7,Medium,0
UPI,Toys,Gold,Tier2,Morning,1153.32,1,4,5,0.39,1,0,3.6,High,0
COD,Books,Silver,Tier2,Evening,795.66,1,4,2,0.32,0,1,4.9,Medium,1
COD,Home,Silver,Tier2,Evening,2607.05,1,5,3,0.75,1,0,3.5,High,0
COD,Sports,Bronze,Tier1,Morning,799.83,1,4,2,0.24,1,0,3.0,High,1
UPI,Beauty,Silver,Tier2,Morning,1464.7,2,2,3,0.38,0,0,4.5,High,1
Prepaid,Home,Bronze,Metro,Evening,7588.68,2,4,1,0.44,0,0,3.8,Medium,0
COD,Beauty,Bronze,Tier1,Afternoon,1305.33,1,5,5,0.35,0,1,3.8,Medium,1
COD,Electronics,Bronze,Tier2,Afternoon,162.02,1,5,1,0.66,1,0,4.0,High,1
COD,Books,Bronze,Rural,Morning,650.98,1,4,4,0.77,1,0,2.5,Low,1
COD,Beauty,Silver,Metro,Afternoon,809.8,3,1,4,0.53,0,0,2.7,Low,1
Prepaid,Home,Bronze,Tier1,Morning,2588.04,2,4,5,0.33,1,0,2.5,Low,1
Prepaid,Books,Silver,Rural,Evening,1812.76,1,4,3,0.52,1,0,3.7,High,0
UPI,Sports,Silver,Rural,Afternoon,2224.68,2,4,6,0.57,0,1,3.5,Low,0
Prepaid,Books,Silver,Metro,Evening,7019.39,1,2,4,0.9,0,0,4.9,High,0
COD,Beauty,Bronze,Tier1,Afternoon,308.19,1,4,5,0.63,1,0,4.3,High,0
Prepaid,Beauty,Bronze,Metro,Afternoon,2612.61,2,4,3,0.25,1,0,4.4,Medium,0
UPI,Fashion,Gold,Tier2,Afternoon,3145.01,1,1,3,0.98,1,0,3.2,High,0
Prepaid,Fashion,Bronze,Tier1,Morning,2113.37,1,4,4,0.35,0,0,4.1,High,0
UPI,Books,Bronze,Tier2,Evening,807.67,1,5,7,0.62,1,0,2.8,High,0
Prepaid,Toys,Silver,Rural,Morning,2667.54,2,4,5,0.47,1,0,3.7,Medium,1
Prepaid,Toys,Bronze,Rural,Morning,668.32,2,4,5,0.76,1,0,4.3,Medium,0
COD,Fashion,Gold,Rural,Evening,1314.76,1,4,4,0.35,0,0,4.6,Medium,1
COD,Home,Gold,Metro,Evening,983.24,2,3,1,0.61,1,0,4.5,Medium,1
COD,Electronics,Bronze,Metro,Morning,977.23,1,1,6,0.61,1,1,2.8,High,0
COD,Books,Silver,Tier2,Morning,476.25,2,4,3,0.72,0,0,3.4,Medium,0
Prepaid,Electronics,Silver,Tier1,Morning,2799.18,1,4,4,0.67,1,0,3.3,High,0
COD,Fashion,Bronze,Metro,Evening,1120.6,2,4,3,0.3,1,0,3.8,Low,1
Prepaid,Beauty,Bronze,Tier1,Morning,2939.58,1,4,6,0.76,0,0,3.3,Low,0
Card,Sports,Silver,Rural,Evening,674.82,1,3,1,0.57,0,0,3.7,Medium,0
COD,Books,Silver,Rural,Morning,1751.88,1,4,5,0.35,0,0,3.3,Medium,0
COD,Fashion,Silver,Metro,Evening,889.5,1,1,1,0.52,0,0,3.2,Medium,0
UPI,Home,Bronze,Tier1,Morning,1855.81,3,2,7,0.5,0,0,2.9,Low,1
COD,Sports,Gold,Tier2,Afternoon,380.58,1,5,2,0.55,1,0,3.4,High,1
COD,Books,Silver,Rural,Afternoon,1153.64,1,5,7,0.92,0,0,3.1,Medium,1
COD,Books,Silver,Tier1,Evening,1653.79,1,3,3,0.9,1,0,3.3,Medium,0
COD,Toys,Silver,Rural,Evening,1662.29,3,5,5,0.22,0,0,3.3,High,1
Card,Beauty,Silver,Tier2,Afternoon,3538.3,1,4,5,0.61,1,0,2.7,High,0
UPI,Books,Silver,Rural,Evening,3797.91,3,3,6,0.26,0,0,2.9,High,1
Prepaid,Beauty,Gold,Tier2,Evening,4463.41,1,4,4,0.23,1,1,3.0,Medium,0
UPI,Fashion,Gold,Rural,Afternoon,2311.15,1,5,4,0.37,1,0,3.9,High,0
UPI,Home,Silver,Tier2,Morning,1133.31,1,5,4,0.97,1,0,3.6,Medium,0
COD,Sports,Silver,Metro,Evening,557.06,2,5,5,0.94,0,0,2.5,Medium,0
UPI,Sports,Silver,Metro,Evening,2156.39,2,5,3,0.77,1,0,4.9,High,0
Prepaid,Home,Silver,Rural,Morning,1950.86,1,4,5,0.45,1,0,3.4,Low,0
UPI,Books,Silver,Metro,Morning,931.75,2,4,5,0.37,1,0,3.6,High,1
UPI,Books,Silver,Tier1,Evening,2161.33,2,2,2,0.34,1,0,3.1,High,0
COD,Fashion,Silver,Tier2,Evening,557.9,2,2,4,0.22,1,0,3.5,High,0
COD,Toys,Gold,Tier2,Morning,790.86,2,5,1,0.55,0,0,3.5,High,1
COD,Toys,Gold,Metro,Evening,1415.05,1,5,2,0.69,1,0,3.5,High,1
COD,Toys,Silver,Tier1,Morning,318.08,1,5,1,0.68,0,1,2.7,High,0
UPI,Beauty,Bronze,Tier1,Morning,1866.71,1,1,5,0.76,1,1,4.7,Medium,0
UPI,Toys,Silver,Tier1,Evening,4284.86,1,4,9,0.61,1,0,2.6,High,1
COD,Home,Bronze,Rural,Evening,645.94,2,4,5,0.63,0,0,4.2,Medium,0
Prepaid,Sports,Silver,Tier2,Morning,1422.44,2,4,3,0.97,0,1,3.0,Medium,0
COD,Sports,Silver,Rural,Evening,1209.79,3,4,5,0.65,0,0,4.9,Low,0
COD,Beauty,Bronze,Metro,Morning,651.9,3,4,4,0.9,0,0,3.2,Low,1
COD,Fashion,Gold,Tier1,Afternoon,1003.88,3,4,2,0.3,0,1,3.3,Medium,0
COD,Home,Gold,Tier2,Afternoon,1087.39,1,3,7,0.86,1,0,3.9,Medium,0
Card,Sports,Bronze,Tier1,Morning,6212.94,1,5,2,0.75,1,1,3.9,Medium,0
COD,Home,Silver,Metro,Morning,889.94,3,5,9,0.2,1,1,3.9,Medium,0
Prepaid,Sports,Gold,Rural,Evening,1079.54,1,5,4,0.37,0,0,2.9,Low,0
Prepaid,Electronics,Gold,Rural,Morning,1161.32,1,5,5,0.37,1,1,3.5,Low,0
COD,Fashion,Bronze,Tier1,Morning,3407.62,1,5,8,0.52,1,0,3.1,Low,1
Card,Fashion,Bronze,Tier2,Evening,4200.52,1,1,4,0.51,1,1,2.7,Low,0
Card,Electronics,Silver,Metro,Evening,1908.77,1,4,9,0.48,0,0,3.1,High,0
COD,Beauty,Gold,Rural,Afternoon,640.02,2,4,3,0.55,0,1,4.1,Low,1
Prepaid,Sports,Bronze,Tier2,Morning,2893.66,3,3,2,0.86,1,0,3.5,Low,1
COD,Sports,Silver,Metro,Morning,1903.62,2,3,5,0.24,1,1,4.8,High,0
COD,Sports,Silver,Metro,Afternoon,1428.29,1,2,2,0.88,0,0,4.1,High,1
COD,Toys,Bronze,Tier2,Morning,266.99,1,4,4,0.93,1,1,3.4,High,0
Prepaid,Toys,Silver,Metro,Evening,1379.04,1,3,5,0.33,0,0,4.9,High,0
Prepaid,Toys,Silver,Rural,Morning,1924.24,2,3,6,0.49,1,1,4.7,Medium,0
COD,Toys,Bronze,Rural,Evening,785.47,2,4,4,0.72,1,0,3.6,Low,1
COD,Toys,Bronze,Rural,Morning,1013.84,1,3,4,0.98,0,1,4.5,High,0
Card,Electronics,Silver,Tier2,Afternoon,1732.05,3,4,2,0.89,1,0,4.2,Medium,1
COD,Fashion,Silver,Tier1,Evening,1558.76,1,2,5,0.79,1,1,3.7,High,0
COD,Beauty,Silver,Metro,Evening,1524.99,1,4,5,0.95,0,0,4.0,Low,1
Prepaid,Home,Silver,Tier2,Afternoon,2623.08,1,3,4,0.99,0,0,3.9,Low,0
Card,Toys,Silver,Tier1,Evening,943.87,3,5,4,0.92,1,1,3.1,High,0
COD,Electronics,Silver,Tier2,Afternoon,661.23,1,5,3,0.35,1,0,3.0,High,1
Prepaid,Sports,Gold,Metro,Morning,671.81,1,5,4,0.77,0,0,4.1,Medium,0
UPI,Beauty,Gold,Metro,Afternoon,2102.31,2,1,4,0.52,0,0,3.4,Medium,0
COD,Beauty,Silver,Tier1,Morning,1424.93,1,5,5,0.85,1,0,2.6,Medium,0
Prepaid,Beauty,Silver,Tier2,Evening,666.18,2,4,2,0.24,0,1,4.4,High,1
COD,Electronics,Silver,Tier1,Evening,1154.49,1,2,4,0.86,1,0,3.2,High,1
Prepaid,Home,Silver,Tier1,Afternoon,3071.74,1,5,2,0.44,0,0,4.7,Low,0
Prepaid,Toys,Bronze,Tier1,Morning,2218.6,2,1,7,0.82,1,0,2.7,Low,1
Prepaid,Beauty,Bronze,Metro,Afternoon,2164.62,1,5,5,0.33,0,1,3.9,High,0
COD,Electronics,Silver,Rural,Evening,1637.79,1,4,4,0.24,1,0,3.0,High,0
UPI,Sports,Gold,Tier2,Evening,1261.99,2,3,1,0.72,0,0,3.6,High,1
COD,Fashion,Silver,Metro,Morning,670.71,1,4,4,0.56,0,0,3.4,Low,1
COD,Sports,Silver,Metro,Morning,767.56,3,2,5,0.88,0,1,3.7,Medium,1
COD,Electronics,Gold,Rural,Evening,2416.86,2,4,4,0.93,1,1,4.0,High,0
Prepaid,Electronics,Bronze,Tier2,Evening,1190.56,1,1,3,0.52,1,0,3.7,High,0
Prepaid,Electronics,Silver,Metro,Morning,2153.0,1,5,8,0.69,1,0,4.1,Low,0
COD,Beauty,Silver,Tier1,Afternoon,424.56,1,1,3,0.42,1,0,3.0,High,1
Prepaid,Electronics,Silver,Metro,Afternoon,1774.46,1,5,9,0.41,0,0,3.6,Medium,0
COD,Fashion,Gold,Metro,Morning,1213.69,1,4,1,0.89,0,0,2.7,High,0
Prepaid,Beauty,Gold,Tier2,Morning,1381.13,2,4,4,0.32,1,0,3.8,Medium,0
COD,Sports,Silver,Metro,Morning,2423.71,1,1,3,0.56,1,0,3.6,Medium,0
Prepaid,Fashion,Silver,Tier2,Evening,1658.05,1,4,3,0.56,0,0,4.1,Low,0
COD,Books,Silver,Tier1,Afternoon,2227.36,1,4,4,0.67,0,1,3.0,High,0
Card,Sports,Bronze,Metro,Morning,4332.75,1,4,5,0.7,0,1,3.2,Medium,0
COD,Electronics,Silver,Tier2,Afternoon,656.34,1,4,4,0.55,1,1,4.2,High,0
COD,Toys,Gold,Tier1,Evening,519.28,3,3,3,0.55,1,1,3.4,High,1
COD,Toys,Silver,Tier2,Evening,1045.33,1,3,5,0.7,1,0,4.7,Medium,0
Card,Beauty,Silver,Tier2,Morning,1598.93,1,4,8,0.76,0,0,2.9,High,0
UPI,Toys,Silver,Rural,Morning,2814.6,2,4,9,0.83,1,0,4.3,High,1
COD,Sports,Gold,Metro,Morning,635.7,1,4,6,0.75,0,0,2.9,Low,0
Prepaid,Beauty,Silver,Metro,Morning,2636.25,2,3,3,0.21,0,0,3.4,High,0
UPI,Sports,Gold,Tier1,Afternoon,4163.76,1,5,3,0.38,1,0,2.8,High,0
Prepaid,Electronics,Silver,Metro,Morning,6461.36,2,5,1,0.31,1,0,3.7,High,0
Prepaid,Home,Silver,Tier1,Afternoon,857.92,1,4,6,0.85,0,1,4.2,Medium,0
COD,Home,Gold,Metro,Evening,3056.09,1,4,3,0.58,0,0,3.1,Low,0
COD,Fashion,Silver,Tier1,Evening,683.78,3,2,8,0.51,1,0,5.0,High,0
UPI,Electronics,Silver,Metro,Afternoon,1757.42,1,5,4,0.8,1,1,3.2,High,0
Card,Toys,Silver,Tier2,Afternoon,1388.73,1,3,1,0.26,0,0,4.1,High,0
Prepaid,Electronics,Silver,Tier2,Morning,3375.71,1,4,5,0.76,1,1,3.3,Low,1
COD,Books,Silver,Metro,Morning,2100.59,2,4,2,0.62,0,0,3.2,Low,0
COD,Home,Bronze,Tier2,Morning,1215.88,1,3,5,0.54,1,0,3.1,Medium,1
Prepaid,Toys,Gold,Tier1,Evening,3528.39,2,5,5,0.73,1,0,3.6,Medium,0
UPI,Sports,Bronze,Tier1,Afternoon,2372.93,1,2,1,0.22,0,0,4.8,High,1
UPI,Sports,Gold,Metro,Afternoon,2097.9,1,4,6,0.28,1,1,3.6,High,0
UPI,Home,Silver,Tier2,Afternoon,1036.17,1,3,4,0.52,1,0,4.3,High,0
Prepaid,Electronics,Silver,Tier1,Afternoon,3090.46,1,4,3,0.27,0,0,3.5,Medium,0
COD,Toys,Gold,Metro,Morning,751.13,1,5,5,0.59,0,0,4.2,High,0
COD,Fashion,Gold,Rural,Morning,582.22,3,5,8,0.68,1,0,3.1,High,1
UPI,Sports,Silver,Metro,Afternoon,2143.88,1,4,9,0.72,1,0,4.8,High,0
Prepaid,Electronics,Bronze,Rural,Morning,3615.99,2,3,6,0.39,0,0,4.9,Low,1
COD,Fashion,Silver,Tier1,Evening,847.05,1,4,5,0.81,0,0,4.1,High,0
COD,Toys,Silver,Tier2,Morning,601.36,1,4,4,0.27,1,0,2.8,Medium,1
Prepaid,Home,Bronze,Tier2,Evening,1802.21,1,3,4,0.94,1,1,2.8,Medium,0
COD,Books,Bronze,Rural,Evening,640.25,1,2,5,0.31,0,0,4.1,Medium,1
COD,Beauty,Bronze,Rural,Afternoon,893.71,3,3,9,0.55,0,1,2.6,High,1
Prepaid,Home,Silver,Rural,Afternoon,1475.9,1,2,1,0.23,1,1,2.8,Low,1
Prepaid,Fashion,Gold,Tier1,Morning,1413.06,1,3,4,0.59,1,0,3.9,High,0
Prepaid,Electronics,Silver,Tier2,Afternoon,2646.99,2,1,3,0.94,1,1,4.6,Medium,1
COD,Sports,Silver,Tier2,Evening,370.48,1,1,5,0.37,1,0,3.1,Low,1
Prepaid,Toys,Gold,Metro,Evening,1318.49,2,5,4,0.93,1,1,4.1,High,0
COD,Home,Gold,Rural,Morning,668.49,1,2,8,0.6,0,0,3.3,Medium,1
COD,Sports,Bronze,Tier1,Evening,1135.34,1,5,3,0.29,1,1,3.7,Low,1
Prepaid,Sports,Bronze,Metro,Afternoon,3009.09,1,5,5,0.82,0,0,2.6,Low,0
Prepaid,Books,Gold,Tier1,Morning,1962.74,2,4,5,0.55,1,0,4.6,Medium,0
UPI,Toys,Gold,Tier2,Morning,1888.91,1,4,4,0.58,0,1,4.9,High,0
Prepaid,Fashion,Gold,Tier2,Morning,2407.49,1,3,4,0.69,0,0,3.3,High,0
Prepaid,Toys,Silver,Tier2,Afternoon,840.18,1,2,4,0.86,1,0,4.6,Medium,0
COD,Toys,Silver,Metro,Evening,1123.42,1,4,8,0.53,0,1,2.8,High,0
COD,Electronics,Bronze,Tier2,Afternoon,1188.67,1,5,2,0.8,1,1,4.9,High,0
COD,Beauty,Gold,Rural,Morning,625.85,2,4,4,0.33,1,0,5.0,Low,1
COD,Sports,Silver,Tier1,Evening,1097.36,2,2,4,0.24,1,0,2.5,Medium,1
Card,Fashion,Gold,Tier2,Morning,2611.84,1,4,2,0.24,0,0,2.9,High,0
COD,Electronics,Bronze,Metro,Afternoon,2105.14,1,4,3,0.23,1,0,3.8,Medium,1
UPI,Sports,Bronze,Metro,Morning,2245.56,3,4,5,0.62,1,0,3.9,Medium,1
Prepaid,Beauty,Bronze,Tier2,Afternoon,1777.33,2,1,5,0.51,1,0,4.0,High,0
UPI,Electronics,Silver,Metro,Morning,1903.85,1,4,4,0.83,1,0,2.7,High,0
Prepaid,Beauty,Gold,Tier2,Morning,1503.33,2,4,4,0.2,0,0,4.6,High,0
Prepaid,Beauty,Silver,Tier2,Morning,3647.77,1,5,5,0.74,1,0,4.7,Medium,0
Prepaid,Beauty,Silver,Tier1,Afternoon,1412.13,2,2,2,0.5,1,1,4.5,Low,0
COD,Electronics,Bronze,Tier1,Afternoon,414.17,1,1,3,0.58,1,0,4.3,Medium,1
Prepaid,Toys,Silver,Rural,Afternoon,862.42,1,5,8,0.31,1,0,2.6,Low,1
COD,Beauty,Silver,Metro,Afternoon,479.26,1,2,8,0.81,1,0,4.6,Low,1
COD,Toys,Silver,Tier2,Afternoon,1065.45,2,4,5,0.9,1,1,2.5,High,0
Prepaid,Sports,Silver,Rural,Evening,1221.86,2,5,6,0.23,0,1,2.9,Medium,0
COD,Sports,Silver,Rural,Morning,1225.37,1,3,2,0.47,1,0,2.8,High,0
Card,Fashion,Silver,Tier2,Afternoon,1584.81,1,4,4,0.53,0,0,4.3,High,1
Card,Books,Gold,Tier1,Evening,2544.57,2,4,4,0.88,1,0,2.9,High,0
Card,Toys,Silver,Metro,Evening,1720.81,2,4,2,0.84,0,1,4.0,High,0
COD,Sports,Bronze,Metro,Morning,1053.26,2,4,1,0.64,1,0,2.8,Medium,1
COD,Books,Silver,Tier2,Morning,665.63,1,1,3,0.34,0,0,4.2,Low,1
Card,Beauty,Silver,Metro,Morning,2729.23,1,5,8,0.64,1,0,4.7,Medium,0
COD,Books,Gold,Rural,Afternoon,240.2,1,5,7,0.55,0,1,4.4,Medium,0
Card,Books,Silver,Tier2,Morning,1104.95,1,2,3,0.92,1,0,3.2,Medium,0
Card,Beauty,Bronze,Metro,Morning,1375.4,1,5,8,0.41,1,1,4.3,Low,1
UPI,Toys,Silver,Metro,Morning,1834.13,3,4,3,0.84,1,1,5.0,High,0
COD,Beauty,Silver,Tier2,Evening,681.72,1,1,5,0.65,1,0,4.2,High,1
COD,Fashion,Bronze,Metro,Afternoon,959.9,3,4,4,0.23,1,0,2.8,Medium,1
UPI,Home,Bronze,Tier2,Morning,1327.27,3,4,1,0.4,1,1,3.9,Medium,1
COD,Electronics,Silver,Rural,Evening,1081.22,2,2,8,0.3,1,0,3.5,High,1
COD,Beauty,Silver,Rural,Afternoon,1068.22,3,2,3,0.57,0,1,3.0,Medium,0
Prepaid,Beauty,Silver,Tier2,Morning,2092.15,2,5,2,0.83,1,0,3.0,High,0
Card,Books,Bronze,Rural,Evening,2460.51,1,5,10,0.67,1,0,4.5,High,0
Prepaid,Fashion,Silver,Tier2,Afternoon,1520.45,2,2,5,0.46,1,0,2.9,Low,1
Prepaid,Sports,Silver,Tier1,Morning,1642.65,3,4,4,0.78,1,0,4.9,High,0
COD,Sports,Gold,Tier2,Morning,682.17,3,3,6,0.7,1,0,4.8,High,0
Prepaid,Books,Silver,Metro,Evening,1935.98,2,4,5,0.26,1,0,4.7,Low,1
Card,Toys,Bronze,Metro,Morning,455.14,1,3,4,0.29,0,0,3.0,High,0
COD,Beauty,Bronze,Tier2,Evening,1943.56,2,4,2,0.28,1,0,3.5,Medium,0
Prepaid,Beauty,Gold,Rural,Evening,2138.66,1,5,5,0.46,1,0,3.7,High,1
UPI,Books,Silver,Tier2,Evening,1102.83,1,4,7,0.66,1,0,4.3,Medium,1
Prepaid,Beauty,Silver,Tier1,Afternoon,671.39,1,3,4,0.94,0,0,3.2,High,0
Prepaid,Toys,Bronze,Tier1,Evening,1870.85,1,5,4,0.73,1,0,2.8,High,1
Prepaid,Home,Bronze,Tier1,Afternoon,837.0,2,4,6,0.77,1,0,4.1,Low,0
COD,Electronics,Bronze,Tier1,Morning,1228.45,3,2,8,0.28,1,1,3.9,High,1
COD,Electronics,Bronze,Rural,Afternoon,1241.6,1,3,4,0.28,1,0,3.8,High,0
UPI,Electronics,Silver,Tier1,Evening,4508.72,2,3,1,0.31,1,0,2.7,Medium,0
UPI,Home,Bronze,Metro,Morning,2198.67,1,5,3,0.67,1,0,3.9,Medium,0
UPI,Beauty,Silver,Tier2,Evening,4643.82,3,3,8,0.79,1,0,3.0,High,0
Card,Books,Silver,Tier1,Evening,1115.16,2,4,6,0.83,1,0,3.5,High,1
Prepaid,Sports,Gold,Tier2,Morning,1336.14,2,4,5,0.37,0,0,3.4,Medium,0
Prepaid,Fashion,Gold,Tier2,Evening,2092.75,3,1,4,0.78,1,1,3.9,Low,0
UPI,Beauty,Bronze,Tier2,Afternoon,1697.89,2,2,4,0.46,1,0,3.4,Medium,1
Prepaid,Home,Silver,Metro,Morning,1944.19,1,5,1,0.65,0,0,3.8,Medium,0
Prepaid,Toys,Bronze,Metro,Morning,1781.36,1,3,6,0.61,0,0,4.7,Low,1
UPI,Home,Silver,Tier1,Morning,1630.23,3,4,4,0.26,1,0,4.5,High,0
